date,model,pred_close,actual_close,pred_direction,actual_direction,correct,abs_error
2025-01-02,random_walk,54.9126323,52.7864024,-1,-1,1,2.1262298999999985
2025-01-02,moving_average,58.398451460000004,52.7864024,1,-1,0,5.612049060000004
2025-01-02,arima,55.0386844336979,52.7864024,1,-1,0,2.2522820336979024
2025-01-02,random_forest,54.85006095550117,52.7864024,-1,-1,1,2.0636585555011706
2025-01-02,lstm_univariate,54.94652935712103,52.7864024,1,-1,0,2.1601269571210295
2025-01-02,lstm_multivariate,54.666993979616194,52.7864024,-1,-1,1,1.880591579616194
2025-01-03,random_walk,52.7864024,52.4569865,-1,-1,1,0.32941590000000076
2025-01-03,moving_average,56.84320912,52.4569865,1,-1,0,4.386222619999998
2025-01-03,arima,52.915073559567396,52.4569865,1,-1,0,0.45808705956739715
2025-01-03,random_forest,52.80947858098791,52.4569865,-1,-1,1,0.35249208098790774
2025-01-03,lstm_univariate,52.819283601536604,52.4569865,1,-1,0,0.36229710153660477
2025-01-03,lstm_multivariate,52.55144558724058,52.4569865,-1,-1,1,0.09445908724057972
2025-01-06,random_walk,52.4569865,53.5550395,-1,1,0,1.0980530000000002
2025-01-06,moving_average,55.29794907999999,53.5550395,1,1,1,1.7429095799999885
2025-01-06,arima,52.514943886324176,53.5550395,1,1,1,1.040095613675824
2025-01-06,random_forest,52.37274292921525,53.5550395,-1,1,0,1.1822965707847501
2025-01-06,lstm_univariate,52.489761710580474,53.5550395,1,1,1,1.0652777894195253
2025-01-06,lstm_multivariate,52.23747289339323,53.5550395,-1,1,0,1.3175666066067677
2025-01-07,random_walk,53.5550395,52.8263316,-1,-1,1,0.7287078999999963
2025-01-07,moving_average,54.201892539999996,52.8263316,1,-1,0,1.3755609399999926
2025-01-07,arima,53.531469888259195,52.8263316,-1,-1,1,0.7051382882591923
2025-01-07,random_forest,53.48214081428718,52.8263316,-1,-1,1,0.6558092142871743
2025-01-07,lstm_univariate,53.58839973302615,52.8263316,1,-1,0,0.7620681330261476
2025-01-07,lstm_multivariate,53.34191542017877,52.8263316,-1,-1,1,0.5155838201787688
2025-01-08,random_walk,52.8263316,53.3853404,-1,1,0,0.5590087999999938
2025-01-08,moving_average,53.30747845999999,53.3853404,1,1,1,0.07786194000000535
2025-01-08,arima,52.84720366069645,53.3853404,1,1,1,0.5381367393035461
2025-01-08,random_forest,52.75645961433422,53.3853404,-1,1,0,0.6288807856657783
2025-01-08,lstm_univariate,52.85927730804735,53.3853404,1,1,1,0.5260630919526434
2025-01-08,lstm_multivariate,52.62394712087284,53.3853404,-1,1,0,0.7613932791271552
2025-01-09,random_walk,53.3853404,52.4370219,-1,-1,1,0.9483184999999992
2025-01-09,moving_average,53.00202008,52.4370219,-1,-1,1,0.5649981800000035
2025-01-09,arima,53.3702891331499,52.4370219,-1,-1,1,0.9332672331499055
2025-01-09,random_forest,53.34812008541322,52.4370219,-1,-1,1,0.9110981854132234
2025-01-09,lstm_univariate,53.418573311093425,52.4370219,1,-1,0,0.9815514110934274
2025-01-09,lstm_multivariate,53.18744364693289,52.4370219,-1,-1,1,0.7504217469328935
2025-01-10,random_walk,52.4370219,52.706544,-1,1,0,0.2695221000000032
2025-01-10,moving_average,52.93214398,52.706544,1,1,1,0.22559997999999837
2025-01-10,arima,52.4697078374318,52.706544,1,1,1,0.23683616256820272
2025-01-10,random_forest,52.40073898173927,52.706544,-1,1,0,0.3058050182607275
2025-01-10,lstm_univariate,52.46974185261377,52.706544,1,1,1,0.2368021473862285
2025-01-10,lstm_multivariate,52.24483973541134,52.706544,-1,1,0,0.4617042645886613
2025-01-13,random_walk,52.706544,54.4933757,-1,1,0,1.7868317000000005
2025-01-13,moving_average,52.98205548,54.4933757,1,1,1,1.5113202200000018
2025-01-13,arima,52.70712312076993,54.4933757,1,1,1,1.786252579230073
2025-01-13,random_forest,52.657023920701285,54.4933757,-1,1,0,1.8363517792987167
2025-01-13,lstm_univariate,52.73941753410497,54.4933757,1,1,1,1.7539581658950283
2025-01-13,lstm_multivariate,52.51277209683747,54.4933757,-1,1,0,1.9806036031625283
2025-01-14,random_walk,54.4933757,54.1839244,-1,-1,1,0.3094512999999992
2025-01-14,moving_average,53.16972272,54.1839244,-1,-1,1,1.0142016799999993
2025-01-14,arima,54.4221839570422,54.1839244,-1,-1,1,0.23825955704219837
2025-01-14,random_forest,54.45030100408547,54.1839244,-1,-1,1,0.2663766040854654
2025-01-14,lstm_univariate,54.527165025173446,54.1839244,1,-1,0,0.34324062517344345
2025-01-14,lstm_multivariate,54.288052747663784,54.1839244,-1,-1,1,0.10412834766378154
2025-01-15,random_walk,54.1839244,54.5931987,-1,1,0,0.40927429999999987
2025-01-15,moving_average,53.44124128,54.5931987,-1,1,0,1.1519574200000022
2025-01-15,arima,54.17145330687556,54.5931987,-1,1,0,0.42174539312443926
2025-01-15,random_forest,54.13981190698488,54.5931987,-1,1,0,0.4533867930151203
2025-01-15,lstm_univariate,54.21750390537344,54.5931987,1,1,1,0.3756947946265612
2025-01-15,lstm_multivariate,53.98433678454708,54.5931987,-1,1,0,0.6088619154529198
2025-01-16,random_walk,54.5931987,55.0124553,-1,1,0,0.4192565999999971
2025-01-16,moving_average,53.68281294,55.0124553,-1,1,0,1.3296423600000011
2025-01-16,arima,54.57249235936055,55.0124553,-1,1,0,0.43996294063944674
2025-01-16,random_forest,54.55444908486186,55.0124553,-1,1,0,0.4580062151381412
2025-01-16,lstm_univariate,54.62629594157837,55.0124553,1,1,1,0.3861593584216294
2025-01-16,lstm_multivariate,54.41082325394151,55.0124553,-1,1,0,0.6016320460584907
2025-01-17,random_walk,55.0124553,56.7493755,-1,1,0,1.7369202000000001
2025-01-17,moving_average,54.19789962,56.7493755,-1,1,0,2.551475879999998
2025-01-17,arima,54.98847941134881,56.7493755,-1,1,0,1.7608960886511866
2025-01-17,random_forest,54.9841641716383,56.7493755,-1,1,0,1.7652113283617012
2025-01-17,lstm_univariate,55.04575180995514,56.7493755,1,1,1,1.7036236900448571
2025-01-17,lstm_multivariate,54.828993697646716,56.7493755,-1,1,0,1.9203818023532833
2025-01-20,random_walk,56.7493755,58.5861187,-1,1,0,1.8367432000000008
